Occurrences	Code
1491	NPU28157
1487	NPU01317
1483	NPU03953
1479	NPU09330
1478	NPU28532
1470	NPU27669
1456	NPU59306
1452	NPU22269
1451	NPU20106
1451	NPU14340
1446	NPU14079
1438	NPU29090
1433	NPU59194
1430	NPU12329
1409	NPU17998
1408	NPU02059
1402	NPU17169
1401	NPU28865
1401	NPU12587
1392	NPU11179
1390	NPU02326
1385	NPU59427
1384	NPU27796
1384	NPU08627
1382	NPU11062
1379	NPU28955
1375	NPU29685
1368	NPU04980
1363	NPU08641
1359	NPU18320
1356	NPU26809
1349	NPU18612
1346	NPU10861
1333	NPU27819
1333	NPU17408
1330	NPU28418
1328	NPU60462
1328	NPU29916
1325	NPU19682
1320	NPU19846
1317	NPU28204
1316	NPU57014
1305	NPU28695
1298	NPU58156
1294	NPU29750
1285	NPU27391
1283	NPU28495
1279	NPU19872
1278	NPU57213
1278	NPU57212
1276	NPU59967
1274	NPU13064
1264	NPU26669
1245	NPU21366
1239	NPU27293
1236	NPU53032
1234	NPU29348
1233	NPU17575
1227	NPU19067
1227	NPU13112
1226	NPU29508
1225	NPU12411
1224	NPU10127
1223	NPU28978
1214	NPU58157
1213	NPU29240
1208	NPU29241
1204	NPU01828
1198	NPU28866
1197	NPU54726
1191	NPU13138
1179	NPU17081
1178	NPU28968
1175	NPU18782
1174	NPU11156
1174	NPU04099
1173	NPU12269
1172	NPU26726
1172	NPU13024
1172	NPU01130
1170	NPU19618
1169	NPU18918
1161	NPU28212
1161	NPU19068
1159	NPU19729
1157	NPU59309
1152	NPU29286
1149	NPU28681
1148	NPU27304
1147	NPU12228
1146	NPU12227
1134	NPU01368
1130	NPU27758
1130	NPU13151
1129	NPU19793
1121	NPU08715
1120	NPU58160
1120	NPU57225
1120	NPU57224
1118	NPU16080
1118	NPU10074
1112	NPU08609
1108	NPU28337
1101	NPU27852
1098	NPU19940
1092	NPU03937
1091	NPU60442
1090	NPU28338
1089	NPU29231
1086	NPU19566
1084	NPU59150
1083	NPU01714
1078	NPU27704
1078	NPU14504
1074	NPU12756
1074	NPU11238
1071	NPU27757
1065	NPU28146
1065	NPU27906
1064	NPU28533
1062	NPU08640
1060	NPU28916
1059	NPU54791
1059	NPU18191
1058	NPU53610
1053	NPU28047
1053	NPU14533
1049	NPU28899
1048	NPU28734
1039	NPU13278
1038	NPU56975
1033	NPU54480
1031	NPU03457
1029	NPU28744
1024	NPU28745
1022	NPU10946
1017	NPU13091
1014	NPU11079
1013	NPU18995
1012	NPU54981
1011	NPU18834
1006	NPU11171
1005	NPU08613
1005	NPU08596
996	NPU14466
995	NPU28733
993	NPU28476
987	NPU18280
986	NPU01927
984	NPU19257
981	NPU29362
977	NPU27739
975	NPU18279
975	NPU11217
975	NPU03554
974	NPU28197
973	NPU27722
972	NPU58173
970	NPU29236
968	NPU28957
964	NPU58174
961	NPU21733
961	NPU01774
959	NPU28683
955	NPU13268
954	NPU29112
954	NPU28265
953	NPU29503
951	NPU17550
946	NPU19828
945	NPU16095
944	NPU26759
940	NPU28302
934	NPU17650
932	NPU59307
930	NPU01451
922	NPU28617
921	NPU22130
920	NPU12560
919	NPU58177
919	NPU10126
915	NPU26692
913	NPU19823
911	NPU29110
909	NPU10043
908	NPU18669
904	NPU12421
903	NPU28264
902	NPU03021
900	NPU18663
900	NPU08708
898	NPU20108
898	NPU19906
898	NPU19849
897	NPU17957
897	NPU12684
892	NPU20645
891	NPU17090
886	NPU57248
885	NPU26630
884	NPU04158
882	NPU27736
879	NPU13232
877	NPU27283
868	NPU13000
868	NPU03435
866	NPU29547
866	NPU29546
866	NPU29545
866	NPU29544
866	NPU29543
866	NPU29542
866	NPU29397
866	NPU29395
865	NPU57534
865	NPU57429
865	NPU29540
865	NPU29539
864	NPU14625
863	NPU11033
861	NPU29678
860	NPU29681
859	NPU54673
859	NPU28367
858	NPU58817
858	NPU22260
856	NPU12251
856	NPU12250
855	NPU29541
852	NPU58257
850	NPU19848
848	NPU27306
848	NPU08654
846	NPU27307
844	NPU26628
842	NPU26629
842	NPU08703
841	NPU19581
838	NPU28875
837	NPU20517
837	NPU08976
835	NPU29255
833	NPU19590
832	NPU19589
832	NPU19582
830	NPU19585
829	NPU19587
828	NPU19586
825	NPU36073
825	NPU19583
824	NPU19588
823	NPU19592
823	NPU19584
821	NPU54564
821	NPU19640
821	NPU19591
821	NPU13416
820	NPU09220
819	NPU02891
818	NPU08570
816	NPU12688
814	NPU22249
814	NPU18972
813	NPU19593
810	NPU16131
810	NPU12777
809	NPU08569
807	NPU57209
804	NPU26755
804	NPU17591
803	NPU27619
803	NPU26693
802	NPU16145
799	NPU59193
799	NPU16147
799	NPU13437
796	NPU18664
795	NPU29095
792	NPU27788
785	NPU54570
784	NPU10000
781	NPU01726
780	NPU27308
777	NPU28516
776	NPU27790
776	NPU19732
775	NPU12545
773	NPU27868
773	NPU26761
771	NPU26762
771	NPU13378
769	NPU13628
768	NPU27726
766	NPU20243
765	NPU57440
764	NPU57208
763	NPU20879
763	NPU20052
761	NPU20047
761	NPU10077
759	NPU27125
758	NPU29094
758	NPU22250
752	NPU57721
750	NPU13433
749	NPU19704
748	NPU28101
743	NPU57499
743	NPU57206
743	NPU57204
743	NPU54969
743	NPU27990
743	NPU01971
741	NPU16081
740	NPU12995
738	NPU04968
735	NPU04176
734	NPU19939
733	NPU10026
730	NPU59202
728	NPU29361
728	NPU11153
727	NPU20211
726	NPU59145
724	NPU18879
720	NPU12010
719	NPU59005
719	NPU28678
718	NPU53621
718	NPU18843
718	NPU13028
717	NPU60219
716	NPU19860
716	NPU01367
715	NPU60251
713	NPU27465
711	NPU53976
707	NPU10860
705	NPU08614
704	NPU14145
704	NPU13242
704	NPU11129
703	NPU26884
701	NPU18790
700	NPU21535
698	NPU54968
698	NPU27506
696	NPU27741
696	NPU11042
695	NPU17100
695	NPU02472
693	NPU18785
